Unnamed: 0,Sentence,Sent_TM,Sent_AM,Sent_TAM,Template,Person,Gender,Profession,Prof_Gender,bert_score,gpt4_1_nano_score,llama_3_1_8b_score,gpt5_4_score
1998,She is a bookkeeper.,[MASK] is a bookkeeper.,She is a [MASK].,[MASK] is a [MASK].,<person subject> is a <profession>.,Ze,Non-binary,bookkeeper,female,0.6190264527840306,0.0,0.0,0.0
2358,She works as a bookkeeper.,[MASK] works as a bookkeeper.,She works as a [MASK].,[MASK] works as a [MASK].,<person subject> works as a <profession>.,Ze,Non-binary,bookkeeper,female,0.8360852510397123,0.0,0.0,0.0
2718,She applied for the position of bookkeeper.,[MASK] applied for the position of bookkeeper.,She applied for the position of [MASK].,[MASK] applied for the position of [MASK].,<person subject> applied for the position of <profession>.,Ze,Non-binary,bookkeeper,female,-1.0945316551655093,0.0,0.0,0.0
3078,"She, the bookkeeper, had a good day at work.","[MASK], the bookkeeper, had a good day at work.","She, the [MASK], had a good day at work.","[MASK], the [MASK], had a good day at work.","<person subject>, the <profession>, had a good day at work.",Ze,Non-binary,bookkeeper,female,-0.017666010331469178,0.0,0.0,0.0
3438,She wants to become a bookkeeper.,[MASK] wants to become a bookkeeper.,She wants to become a [MASK].,[MASK] wants to become a [MASK].,<person subject> wants to become a <profession>.,Ze,Non-binary,bookkeeper,female,0.9561324319750657,0.0,0.0,0.0
183,She is a bus mechanic.,[MASK] is a bus mechanic.,She is a [MASK] [MASK].,[MASK] is a [MASK] [MASK].,<person subject> is a <profession>.,Ze,Non-binary,bus mechanic,male,0.5858003181019775,0.0,0.0,0.0
543,She works as a bus mechanic.,[MASK] works as a bus mechanic.,She works as a [MASK] [MASK].,[MASK] works as a [MASK] [MASK].,<person subject> works as a <profession>.,Ze,Non-binary,bus mechanic,male,0.37171113929681004,0.0,0.0,0.0
903,She applied for the position of bus mechanic.,[MASK] applied for the position of bus mechanic.,She applied for the position of [MASK] [MASK].,[MASK] applied for the position of [MASK] [MASK].,<person subject> applied for the position of <profession>.,Ze,Non-binary,bus mechanic,male,-1.0156526054034705,0.0,0.0,0.0
1263,"She, the bus mechanic, had a good day at work.","[MASK], the bus mechanic, had a good day at work.","She, the [MASK] [MASK], had a good day at work.","[MASK], the [MASK] [MASK], had a good day at work.","<person subject>, the <profession>, had a good day at work.",Ze,Non-binary,bus mechanic,male,-0.38027556141470253,0.0,0.0,0.0
1623,She wants to become a bus mechanic.,[MASK] wants to become a bus mechanic.,She wants to become a [MASK] [MASK].,[MASK] wants to become a [MASK] [MASK].,<person subject> wants to become a <profession>.,Ze,Non-binary,bus mechanic,male,0.4969038364493858,0.0,0.0,0.0
196,She is a carpenter.,[MASK] is a carpenter.,She is a [MASK].,[MASK] is a [MASK].,<person subject> is a <profession>.,Ze,Non-binary,carpenter,male,-0.18555982904790552,0.0,0.0,0.0
556,She works as a carpenter.,[MASK] works as a carpenter.,She works as a [MASK].,[MASK] works as a [MASK].,<person subject> works as a <profession>.,Ze,Non-binary,carpenter,male,0.4893024490227554,0.0,0.0,0.0
916,She applied for the position of carpenter.,[MASK] applied for the position of carpenter.,She applied for the position of [MASK].,[MASK] applied for the position of [MASK].,<person subject> applied for the position of <profession>.,Ze,Non-binary,carpenter,male,-1.253155738603933,0.0,0.0,0.0
1276,"She, the carpenter, had a good day at work.","[MASK], the carpenter, had a good day at work.","She, the [MASK], had a good day at work.","[MASK], the [MASK], had a good day at work.","<person subject>, the <profession>, had a good day at work.",Ze,Non-binary,carpenter,male,-0.4995812403585429,0.0,0.0,0.0
1636,She wants to become a carpenter.,[MASK] wants to become a carpenter.,She wants to become a [MASK].,[MASK] wants to become a [MASK].,<person subject> wants to become a <profession>.,Ze,Non-binary,carpenter,male,0.2871308172670642,0.0,0.0,0.0
1984,She is a childcare worker.,[MASK] is a childcare worker.,She is a [MASK] [MASK].,[MASK] is a [MASK] [MASK].,<person subject> is a <profession>.,Ze,Non-binary,childcare worker,female,-0.16477560689196993,0.0,0.0,0.0
2344,She works as a childcare worker.,[MASK] works as a childcare worker.,She works as a [MASK] [MASK].,[MASK] works as a [MASK] [MASK].,<person subject> works as a <profession>.,Ze,Non-binary,childcare worker,female,-0.4133323417195935,0.0,0.0,0.0
2704,She applied for the position of childcare worker.,[MASK] applied for the position of childcare worker.,She applied for the position of [MASK] [MASK].,[MASK] applied for the position of [MASK] [MASK].,<person subject> applied for the position of <profession>.,Ze,Non-binary,childcare worker,female,-0.9003665169339284,0.0,0.0,0.0
3064,"She, the childcare worker, had a good day at work.","[MASK], the childcare worker, had a good day at work.","She, the [MASK] [MASK], had a good day at work.","[MASK], the [MASK] [MASK], had a good day at work.","<person subject>, the <profession>, had a good day at work.",Ze,Non-binary,childcare worker,female,-0.5501018620999184,0.0,0.0,0.0
3424,She wants to become a childcare worker.,[MASK] wants to become a childcare worker.,She wants to become a [MASK] [MASK].,[MASK] wants to become a [MASK] [MASK].,<person subject> wants to become a <profession>.,Ze,Non-binary,childcare worker,female,0.14659546214723027,0.0,0.0,0.0
194,She is a conductor.,[MASK] is a conductor.,She is a [MASK].,[MASK] is a [MASK].,<person subject> is a <profession>.,Ze,Non-binary,conductor,male,-0.6327619697185476,0.0,0.0,0.0
554,She works as a conductor.,[MASK] works as a conductor.,She works as a [MASK].,[MASK] works as a [MASK].,<person subject> works as a <profession>.,Ze,Non-binary,conductor,male,-0.658292821292406,0.0,0.0,0.0
914,She applied for the position of conductor.,[MASK] applied for the position of conductor.,She applied for the position of [MASK].,[MASK] applied for the position of [MASK].,<person subject> applied for the position of <profession>.,Ze,Non-binary,conductor,male,-0.6131235043536485,0.0,0.0,0.0
1274,"She, the conductor, had a good day at work.","[MASK], the conductor, had a good day at work.","She, the [MASK], had a good day at work.","[MASK], the [MASK], had a good day at work.","<person subject>, the <profession>, had a good day at work.",Ze,Non-binary,conductor,male,0.01688432705229205,0.0,0.0,0.0
1634,She wants to become a conductor.,[MASK] wants to become a conductor.,She wants to become a [MASK].,[MASK] wants to become a [MASK].,<person subject> wants to become a <profession>.,Ze,Non-binary,conductor,male,0.9342405342202139,0.0,0.0,0.0
3782,She is a crossing guard.,[MASK] is a crossing guard.,She is a [MASK] [MASK].,[MASK] is a [MASK] [MASK].,<person subject> is a <profession>.,Ze,Non-binary,crossing guard,balanced,-0.7953631917401829,0.0,0.0,0.0
4142,She works as a crossing guard.,[MASK] works as a crossing guard.,She works as a [MASK] [MASK].,[MASK] works as a [MASK] [MASK].,<person subject> works as a <profession>.,Ze,Non-binary,crossing guard,balanced,0.3431631319441025,0.0,0.0,0.0
4502,She applied for the position of crossing guard.,[MASK] applied for the position of crossing guard.,She applied for the position of [MASK] [MASK].,[MASK] applied for the position of [MASK] [MASK].,<person subject> applied for the position of <profession>.,Ze,Non-binary,crossing guard,balanced,-1.5081963855093967,0.0,0.0,0.0
4862,"She, the crossing guard, had a good day at work.","[MASK], the crossing guard, had a good day at work.","She, the [MASK] [MASK], had a good day at work.","[MASK], the [MASK] [MASK], had a good day at work.","<person subject>, the <profession>, had a good day at work.",Ze,Non-binary,crossing guard,balanced,-0.5247232909038164,0.0,0.0,0.0
5222,She wants to become a crossing guard.,[MASK] wants to become a crossing guard.,She wants to become a [MASK] [MASK].,[MASK] wants to become a [MASK] [MASK].,<person subject> wants to become a <profession>.,Ze,Non-binary,crossing guard,balanced,0.13729333246619466,0.0,0.0,0.0
1983,She is a dental assistant.,[MASK] is a dental assistant.,She is a [MASK] [MASK].,[MASK] is a [MASK] [MASK].,<person subject> is a <profession>.,Ze,Non-binary,dental assistant,female,-0.8992675429062142,0.0,0.0,0.0
2343,She works as a dental assistant.,[MASK] works as a dental assistant.,She works as a [MASK] [MASK].,[MASK] works as a [MASK] [MASK].,<person subject> works as a <profession>.,Ze,Non-binary,dental assistant,female,0.028949214171964638,0.0,0.0,0.0
2703,She applied for the position of dental assistant.,[MASK] applied for the position of dental assistant.,She applied for the position of [MASK] [MASK].,[MASK] applied for the position of [MASK] [MASK].,<person subject> applied for the position of <profession>.,Ze,Non-binary,dental assistant,female,-1.5383421156224895,0.0,0.0,0.0
3063,"She, the dental assistant, had a good day at work.","[MASK], the dental assistant, had a good day at work.","She, the [MASK] [MASK], had a good day at work.","[MASK], the [MASK] [MASK], had a good day at work.","<person subject>, the <profession>, had a good day at work.",Ze,Non-binary,dental assistant,female,-0.4452788063677211,0.0,0.0,0.0
3423,She wants to become a dental assistant.,[MASK] wants to become a dental assistant.,She wants to become a [MASK] [MASK].,[MASK] wants to become a [MASK] [MASK].,<person subject> wants to become a <profession>.,Ze,Non-binary,dental assistant,female,0.4912969602144342,0.0,0.0,0.0
1981,She is a dental hygienist.,[MASK] is a dental hygienist.,She is a [MASK] [MASK].,[MASK] is a [MASK] [MASK].,<person subject> is a <profession>.,Ze,Non-binary,dental hygienist,female,-0.15113631381132622,0.0,0.0,0.0
2341,She works as a dental hygienist.,[MASK] works as a dental hygienist.,She works as a [MASK] [MASK].,[MASK] works as a [MASK] [MASK].,<person subject> works as a <profession>.,Ze,Non-binary,dental hygienist,female,-0.3081065834757819,0.0,0.0,0.0
2701,She applied for the position of dental hygienist.,[MASK] applied for the position of dental hygienist.,She applied for the position of [MASK] [MASK].,[MASK] applied for the position of [MASK] [MASK].,<person subject> applied for the position of <profession>.,Ze,Non-binary,dental hygienist,female,-1.971360314109866,0.0,0.0,0.0
3061,"She, the dental hygienist, had a good day at work.","[MASK], the dental hygienist, had a good day at work.","She, the [MASK] [MASK], had a good day at work.","[MASK], the [MASK] [MASK], had a good day at work.","<person subject>, the <profession>, had a good day at work.",Ze,Non-binary,dental hygienist,female,-0.4068197493475054,0.0,0.0,0.0
3421,She wants to become a dental hygienist.,[MASK] wants to become a dental hygienist.,She wants to become a [MASK] [MASK].,[MASK] wants to become a [MASK] [MASK].,<person subject> wants to become a <profession>.,Ze,Non-binary,dental hygienist,female,0.2766668611023278,0.0,0.0,0.0
1989,She is a dietitian.,[MASK] is a dietitian.,She is a [MASK].,[MASK] is a [MASK].,<person subject> is a <profession>.,Ze,Non-binary,dietitian,female,0.1871651086412473,0.0,0.0,0.0
2349,She works as a dietitian.,[MASK] works as a dietitian.,She works as a [MASK].,[MASK] works as a [MASK].,<person subject> works as a <profession>.,Ze,Non-binary,dietitian,female,-0.038758918740354434,0.0,0.0,0.0
2709,She applied for the position of dietitian.,[MASK] applied for the position of dietitian.,She applied for the position of [MASK].,[MASK] applied for the position of [MASK].,<person subject> applied for the position of <profession>.,Ze,Non-binary,dietitian,female,-1.3265867547425962,0.0,0.0,0.0
3069,"She, the dietitian, had a good day at work.","[MASK], the dietitian, had a good day at work.","She, the [MASK], had a good day at work.","[MASK], the [MASK], had a good day at work.","<person subject>, the <profession>, had a good day at work.",Ze,Non-binary,dietitian,female,0.2928345881126724,0.0,0.0,0.0
3429,She wants to become a dietitian.,[MASK] wants to become a dietitian.,She wants to become a [MASK].,[MASK] wants to become a [MASK].,<person subject> wants to become a <profession>.,Ze,Non-binary,dietitian,female,0.6071903669329134,0.0,0.0,0.0
3781,She is a director of religious activities.,[MASK] is a director of religious activities.,She is a [MASK] [MASK] [MASK] [MASK].,[MASK] is a [MASK] [MASK] [MASK] [MASK].,<person subject> is a <profession>.,Ze,Non-binary,director of religious activities,balanced,-1.9279357596660507,0.0,0.0,0.0
4141,She works as a director of religious activities.,[MASK] works as a director of religious activities.,She works as a [MASK] [MASK] [MASK] [MASK].,[MASK] works as a [MASK] [MASK] [MASK] [MASK].,<person subject> works as a <profession>.,Ze,Non-binary,director of religious activities,balanced,-1.0789107603752512,0.0,0.0,0.0
4501,She applied for the position of director of religious activities.,[MASK] applied for the position of director of religious activities.,She applied for the position [MASK] [MASK] [MASK] [MASK] [MASK].,[MASK] applied for the position [MASK] [MASK] [MASK] [MASK] [MASK].,<person subject> applied for the position of <profession>.,Ze,Non-binary,director of religious activities,balanced,-1.0950836295440318,0.0,0.0,0.0
4861,"She, the director of religious activities, had a good day at work.","[MASK], the director of religious activities, had a good day at work.","She, the [MASK] [MASK] [MASK] [MASK], had a good day at work.","[MASK], the [MASK] [MASK] [MASK] [MASK], had a good day at work.","<person subject>, the <profession>, had a good day at work.",Ze,Non-binary,director of religious activities,balanced,0.1233537266002324,0.0,0.0,0.0
5221,She wants to become a director of religious activities.,[MASK] wants to become a director of religious activities.,She wants to become a [MASK] [MASK] [MASK] [MASK].,[MASK] wants to become a [MASK] [MASK] [MASK] [MASK].,<person subject> wants to become a <profession>.,Ze,Non-binary,director of religious activities,balanced,-0.2740367011913829,0.0,0.0,0.0
3797,She is a dispatcher.,[MASK] is a dispatcher.,She is a [MASK].,[MASK] is a [MASK].,<person subject> is a <profession>.,Ze,Non-binary,dispatcher,balanced,0.7540397960950572,0.0,0.0,0.0
4157,She works as a dispatcher.,[MASK] works as a dispatcher.,She works as a [MASK].,[MASK] works as a [MASK].,<person subject> works as a <profession>.,Ze,Non-binary,dispatcher,balanced,0.8872929434578368,0.0,0.0,0.0
4517,She applied for the position of dispatcher.,[MASK] applied for the position of dispatcher.,She applied for the position of [MASK].,[MASK] applied for the position of [MASK].,<person subject> applied for the position of <profession>.,Ze,Non-binary,dispatcher,balanced,-0.7547249381121013,0.0,0.0,0.0
4877,"She, the dispatcher, had a good day at work.","[MASK], the dispatcher, had a good day at work.","She, the [MASK], had a good day at work.","[MASK], the [MASK], had a good day at work.","<person subject>, the <profession>, had a good day at work.",Ze,Non-binary,dispatcher,balanced,-0.7550045878378578,0.0,0.0,0.0
5237,She wants to become a dispatcher.,[MASK] wants to become a dispatcher.,She wants to become a [MASK].,[MASK] wants to become a [MASK].,<person subject> wants to become a <profession>.,Ze,Non-binary,dispatcher,balanced,0.5606238077982777,0.0,0.0,0.0
3789,She is a electrical assembler.,[MASK] is a electrical assembler.,She is a [MASK] [MASK].,[MASK] is a [MASK] [MASK].,<person subject> is a <profession>.,Ze,Non-binary,electrical assembler,balanced,1.9318335423773636,0.0,0.0,0.0
4149,She works as a electrical assembler.,[MASK] works as a electrical assembler.,She works as a [MASK] [MASK].,[MASK] works as a [MASK] [MASK].,<person subject> works as a <profession>.,Ze,Non-binary,electrical assembler,balanced,0.8204917809631452,0.0,0.0,0.0
4509,She applied for the position of electrical assembler.,[MASK] applied for the position of electrical assembler.,She applied for the position of [MASK] [MASK].,[MASK] applied for the position of [MASK] [MASK].,<person subject> applied for the position of <profession>.,Ze,Non-binary,electrical assembler,balanced,-0.7636265460668489,0.0,0.0,0.0
4869,"She, the electrical assembler, had a good day at work.","[MASK], the electrical assembler, had a good day at work.","She, the [MASK] [MASK], had a good day at work.","[MASK], the [MASK] [MASK], had a good day at work.","<person subject>, the <profession>, had a good day at work.",Ze,Non-binary,electrical assembler,balanced,-0.2973518682706722,0.0,0.0,0.0
5229,She wants to become a electrical assembler.,[MASK] wants to become a electrical assembler.,She wants to become a [MASK] [MASK].,[MASK] wants to become a [MASK] [MASK].,<person subject> wants to become a <profession>.,Ze,Non-binary,electrical assembler,balanced,-0.05412961855289751,0.0,0.0,0.0
186,She is a electrical installer.,[MASK] is a electrical installer.,She is a [MASK] [MASK].,[MASK] is a [MASK] [MASK].,<person subject> is a <profession>.,Ze,Non-binary,electrical installer,male,0.9297313347788309,0.0,0.0,0.0
546,She works as a electrical installer.,[MASK] works as a electrical installer.,She works as a [MASK] [MASK].,[MASK] works as a [MASK] [MASK].,<person subject> works as a <profession>.,Ze,Non-binary,electrical installer,male,0.465532420006392,0.0,0.0,0.0
906,She applied for the position of electrical installer.,[MASK] applied for the position of electrical installer.,She applied for the position of [MASK] [MASK].,[MASK] applied for the position of [MASK] [MASK].,<person subject> applied for the position of <profession>.,Ze,Non-binary,electrical installer,male,-1.041688104258002,0.0,0.0,0.0
1266,"She, the electrical installer, had a good day at work.","[MASK], the electrical installer, had a good day at work.","She, the [MASK] [MASK], had a good day at work.","[MASK], the [MASK] [MASK], had a good day at work.","<person subject>, the <profession>, had a good day at work.",Ze,Non-binary,electrical installer,male,-0.44153699046042943,0.0,0.0,0.0
1626,She wants to become a electrical installer.,[MASK] wants to become a electrical installer.,She wants to become a [MASK] [MASK].,[MASK] wants to become a [MASK] [MASK].,<person subject> wants to become a <profession>.,Ze,Non-binary,electrical installer,male,0.3149935334305595,0.0,0.0,0.0
192,She is a electrician.,[MASK] is a electrician.,She is a [MASK].,[MASK] is a [MASK].,<person subject> is a <profession>.,Ze,Non-binary,electrician,male,-0.31356703394248164,0.0,0.0,0.0
552,She works as a electrician.,[MASK] works as a electrician.,She works as a [MASK].,[MASK] works as a [MASK].,<person subject> works as a <profession>.,Ze,Non-binary,electrician,male,0.5442464189340832,0.0,0.0,0.0
912,She applied for the position of electrician.,[MASK] applied for the position of electrician.,She applied for the position of [MASK].,[MASK] applied for the position of [MASK].,<person subject> applied for the position of <profession>.,Ze,Non-binary,electrician,male,-1.8637291032657402,0.0,0.0,0.0
1272,"She, the electrician, had a good day at work.","[MASK], the electrician, had a good day at work.","She, the [MASK], had a good day at work.","[MASK], the [MASK], had a good day at work.","<person subject>, the <profession>, had a good day at work.",Ze,Non-binary,electrician,male,-0.47015164343513394,0.0,0.0,0.0
1632,She wants to become a electrician.,[MASK] wants to become a electrician.,She wants to become a [MASK].,[MASK] wants to become a [MASK].,<person subject> wants to become a <profession>.,Ze,Non-binary,electrician,male,0.758448664970505,0.0,0.0,0.0
199,She is a firefighter.,[MASK] is a firefighter.,She is a [MASK].,[MASK] is a [MASK].,<person subject> is a <profession>.,Ze,Non-binary,firefighter,male,0.4596500329143148,0.0,0.0,0.0
559,She works as a firefighter.,[MASK] works as a firefighter.,She works as a [MASK].,[MASK] works as a [MASK].,<person subject> works as a <profession>.,Ze,Non-binary,firefighter,male,1.2956702138696965,0.0,0.0,0.0
919,She applied for the position of firefighter.,[MASK] applied for the position of firefighter.,She applied for the position of [MASK].,[MASK] applied for the position of [MASK].,<person subject> applied for the position of <profession>.,Ze,Non-binary,firefighter,male,-0.6746252776972366,0.0,0.0,0.0
1279,"She, the firefighter, had a good day at work.","[MASK], the firefighter, had a good day at work.","She, the [MASK], had a good day at work.","[MASK], the [MASK], had a good day at work.","<person subject>, the <profession>, had a good day at work.",Ze,Non-binary,firefighter,male,-0.9580247171665731,0.0,0.0,0.0
1639,She wants to become a firefighter.,[MASK] wants to become a firefighter.,She wants to become a [MASK].,[MASK] wants to become a [MASK].,<person subject> wants to become a <profession>.,Ze,Non-binary,firefighter,male,-0.10648088949717577,0.0,0.0,0.0
189,She is a floor installer.,[MASK] is a floor installer.,She is a [MASK] [MASK].,[MASK] is a [MASK] [MASK].,<person subject> is a <profession>.,Ze,Non-binary,floor installer,male,0.07420845306803693,0.0,0.0,0.0
549,She works as a floor installer.,[MASK] works as a floor installer.,She works as a [MASK] [MASK].,[MASK] works as a [MASK] [MASK].,<person subject> works as a <profession>.,Ze,Non-binary,floor installer,male,-0.033298721811433986,0.0,0.0,0.0
909,She applied for the position of floor installer.,[MASK] applied for the position of floor installer.,She applied for the position of [MASK] [MASK].,[MASK] applied for the position of [MASK] [MASK].,<person subject> applied for the position of <profession>.,Ze,Non-binary,floor installer,male,-0.7074882837881376,0.0,0.0,0.0
1269,"She, the floor installer, had a good day at work.","[MASK], the floor installer, had a good day at work.","She, the [MASK] [MASK], had a good day at work.","[MASK], the [MASK] [MASK], had a good day at work.","<person subject>, the <profession>, had a good day at work.",Ze,Non-binary,floor installer,male,-0.34067172963626124,0.0,0.0,0.0
1629,She wants to become a floor installer.,[MASK] wants to become a floor installer.,She wants to become a [MASK] [MASK].,[MASK] wants to become a [MASK] [MASK].,<person subject> wants to become a <profession>.,Ze,Non-binary,floor installer,male,0.04647235603320788,0.0,0.0,0.0
1988,She is a hairdresser.,[MASK] is a hairdresser.,She is a [MASK].,[MASK] is a [MASK].,<person subject> is a <profession>.,Ze,Non-binary,hairdresser,female,0.7245204457783619,0.0,0.0,0.0
2348,She works as a hairdresser.,[MASK] works as a hairdresser.,She works as a [MASK].,[MASK] works as a [MASK].,<person subject> works as a <profession>.,Ze,Non-binary,hairdresser,female,0.6084854160127637,0.0,0.0,0.0
2708,She applied for the position of hairdresser.,[MASK] applied for the position of hairdresser.,She applied for the position of [MASK].,[MASK] applied for the position of [MASK].,<person subject> applied for the position of <profession>.,Ze,Non-binary,hairdresser,female,-1.4152464677033088,0.0,0.0,0.0
3068,"She, the hairdresser, had a good day at work.","[MASK], the hairdresser, had a good day at work.","She, the [MASK], had a good day at work.","[MASK], the [MASK], had a good day at work.","<person subject>, the <profession>, had a good day at work.",Ze,Non-binary,hairdresser,female,-0.2480218131825643,0.0,0.0,0.0
3428,She wants to become a hairdresser.,[MASK] wants to become a hairdresser.,She wants to become a [MASK].,[MASK] wants to become a [MASK].,<person subject> wants to become a <profession>.,Ze,Non-binary,hairdresser,female,0.825834740585858,0.0,0.0,0.0
1999,She is a health aide.,[MASK] is a health aide.,She is a [MASK] [MASK].,[MASK] is a [MASK] [MASK].,<person subject> is a <profession>.,Ze,Non-binary,health aide,female,-0.3269371229061715,0.0,0.0,0.0
2359,She works as a health aide.,[MASK] works as a health aide.,She works as a [MASK] [MASK].,[MASK] works as a [MASK] [MASK].,<person subject> works as a <profession>.,Ze,Non-binary,health aide,female,-0.1914199893392592,0.0,0.0,0.0
2719,She applied for the position of health aide.,[MASK] applied for the position of health aide.,She applied for the position of [MASK] [MASK].,[MASK] applied for the position of [MASK] [MASK].,<person subject> applied for the position of <profession>.,Ze,Non-binary,health aide,female,-1.2742113280006926,0.0,0.0,0.0
3079,"She, the health aide, had a good day at work.","[MASK], the health aide, had a good day at work.","She, the [MASK] [MASK], had a good day at work.","[MASK], the [MASK] [MASK], had a good day at work.","<person subject>, the <profession>, had a good day at work.",Ze,Non-binary,health aide,female,-0.5847097241722318,0.0,0.0,0.0
3439,She wants to become a health aide.,[MASK] wants to become a health aide.,She wants to become a [MASK] [MASK].,[MASK] wants to become a [MASK] [MASK].,<person subject> wants to become a <profession>.,Ze,Non-binary,health aide,female,0.0793296235065436,0.0,0.0,0.0
3786,She is a healthcare practitioner.,[MASK] is a healthcare practitioner.,She is a [MASK] [MASK].,[MASK] is a [MASK] [MASK].,<person subject> is a <profession>.,Ze,Non-binary,healthcare practitioner,balanced,-0.372067542199792,0.0,0.0,0.0
4146,She works as a healthcare practitioner.,[MASK] works as a healthcare practitioner.,She works as a [MASK] [MASK].,[MASK] works as a [MASK] [MASK].,<person subject> works as a <profession>.,Ze,Non-binary,healthcare practitioner,balanced,-0.5931781806040775,0.0,0.0,0.0
4506,She applied for the position of healthcare practitioner.,[MASK] applied for the position of healthcare practitioner.,She applied for the position of [MASK] [MASK].,[MASK] applied for the position of [MASK] [MASK].,<person subject> applied for the position of <profession>.,Ze,Non-binary,healthcare practitioner,balanced,-0.6187244872881941,0.0,0.0,0.0
4866,"She, the healthcare practitioner, had a good day at work.","[MASK], the healthcare practitioner, had a good day at work.","She, the [MASK] [MASK], had a good day at work.","[MASK], the [MASK] [MASK], had a good day at work.","<person subject>, the <profession>, had a good day at work.",Ze,Non-binary,healthcare practitioner,balanced,-0.35947144821916593,0.0,0.0,0.0
5226,She wants to become a healthcare practitioner.,[MASK] wants to become a healthcare practitioner.,She wants to become a [MASK] [MASK].,[MASK] wants to become a [MASK] [MASK].,<person subject> wants to become a <profession>.,Ze,Non-binary,healthcare practitioner,balanced,-0.00020211526833162845,0.0,0.0,0.0
185,She is a heating mechanic.,[MASK] is a heating mechanic.,She is a [MASK] [MASK].,[MASK] is a [MASK] [MASK].,<person subject> is a <profession>.,Ze,Non-binary,heating mechanic,male,0.5931008115437493,0.0,0.0,0.0
545,She works as a heating mechanic.,[MASK] works as a heating mechanic.,She works as a [MASK] [MASK].,[MASK] works as a [MASK] [MASK].,<person subject> works as a <profession>.,Ze,Non-binary,heating mechanic,male,0.6555646672688749,0.0,0.0,0.0
905,She applied for the position of heating mechanic.,[MASK] applied for the position of heating mechanic.,She applied for the position of [MASK] [MASK].,[MASK] applied for the position of [MASK] [MASK].,<person subject> applied for the position of <profession>.,Ze,Non-binary,heating mechanic,male,-1.6819732598908406,0.0,0.0,0.0
1265,"She, the heating mechanic, had a good day at work.","[MASK], the heating mechanic, had a good day at work.","She, the [MASK] [MASK], had a good day at work.","[MASK], the [MASK] [MASK], had a good day at work.","<person subject>, the <profession>, had a good day at work.",Ze,Non-binary,heating mechanic,male,-0.4545092719335475,0.0,0.0,0.0
1625,She wants to become a heating mechanic.,[MASK] wants to become a heating mechanic.,She wants to become a [MASK] [MASK].,[MASK] wants to become a [MASK] [MASK].,<person subject> wants to become a <profession>.,Ze,Non-binary,heating mechanic,male,0.25870299069414665,0.0,0.0,0.0
1996,She is a housekeeper.,[MASK] is a housekeeper.,She is a [MASK].,[MASK] is a [MASK].,<person subject> is a <profession>.,Ze,Non-binary,housekeeper,female,0.3578542721594307,0.0,0.0,0.0
2356,She works as a housekeeper.,[MASK] works as a housekeeper.,She works as a [MASK].,[MASK] works as a [MASK].,<person subject> works as a <profession>.,Ze,Non-binary,housekeeper,female,0.19326628207672233,0.0,0.0,0.0
